,index,loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,target,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
67991,67991,40000,0.0819,814.7,MORTGAGE,140000,Not Verified,low_risk,n,19.75,0,1,18,0,9471,45,w,33249.95,33249.95,9740,9740,6750.05,2989.95,0,0,0,814.7,0,1,Individual,0,0,377773,1,6,1,2,9,61443,51,1,1,3218,26,86500,0,2,1,3,20987,65129,12.7,0,0,192,180,2,2,3,44,2,0,6,6,6,10,20,11,22,6,18,0,0,0,2,97.7,0,0,0,527975,70914,74600,99475,N,N
25429,25429,6000,0.1524,208.7,RENT,55000,Not Verified,low_risk,n,11.52,2,0,8,0,1280,12,w,0,0,6185.59,6185.59,6000,185.59,0,0,0,5773.27,0,1,Individual,0,0,23460,1,1,1,1,6,22180,94,0,1,713,68,11000,1,1,3,2,2933,4680,20.7,0,0,143,144,22,6,0,59,6,0,2,3,2,2,3,7,9,3,8,0,0,0,1,66.7,0,0,0,34628,23460,5900,23628,N,N
38496,38496,3600,0.1695,128.27,RENT,42000,Not Verified,low_risk,n,6.74,0,0,6,0,4757,6,w,0,0,3603.73,3603.73,3600,3.73,0,0,0,3607.12,0,1,Individual,0,0,19183,0,3,0,0,40,14426,96,1,2,4757,83,8100,0,0,2,2,3837,2543,65.2,0,0,54,107,9,9,0,9,7,0,1,1,2,2,3,3,3,1,6,0,0,0,1,100,0,0,0,23100,19183,7300,15000,N,N
19667,19667,20000,0.1524,478.33,RENT,100000,Not Verified,low_risk,n,12.13,0,2,7,0,12731,21,w,17624.06,17624.06,4766.37,4766.37,2375.94,2390.43,0,0,0,478.33,0,1,Individual,0,0,43817,1,2,1,3,11,31086,86,3,3,5917,78,20500,0,3,3,6,7303,6496,52.9,0,0,132,290,4,4,0,7,5,0,2,4,3,8,8,5,12,4,7,0,0,0,4,100,50,0,0,56481,43817,13800,35981,N,N
37505,37505,3600,0.124,120.27,RENT,50000,Not Verified,low_risk,n,16.08,0,3,6,0,10413,6,w,0,0,3602.48,3602.48,3600,2.48,0,0,0,3604.96,0,1,Individual,0,0,32448,2,2,1,1,9,22035,88,2,2,5985,71,21000,3,1,14,3,5408,10587,49.6,0,0,40,159,3,3,0,3,3,0,4,4,4,4,2,4,4,4,6,0,0,0,3,100,25,0,0,45977,32448,21000,24977,N,N
26517,26517,27000,0.0819,549.93,RENT,57000,Verified,low_risk,n,31.41,0,0,18,0,39124,27,w,22837.69,22837.69,6024.66,6024.66,4162.31,1862.35,0,0,0,549.93,0,1,Joint App,0,0,52062,1,1,0,1,23,4199,36,1,3,13034,42,104100,0,0,0,4,2892,62009,37,0,0,257,668,2,2,1,2,17,1,10,11,14,16,5,16,20,11,18,0,0,0,1,96.2,14.3,0,0,125240,52062,98400,11629,N,N
30063,30063,15000,0.0881,310,MORTGAGE,50000,Not Verified,low_risk,n,24.44,0,1,9,0,15705,9,w,12738.61,12738.61,3402.66,3402.66,2261.39,1141.27,0,0,0,310,0,1,Individual,0,0,148560,2,2,0,1,20,34196,79,3,3,4376,54,49600,2,0,1,5,16507,29112,33.2,0,0,32,222,5,5,1,5,5,0,5,6,5,5,2,6,6,6,9,0,0,0,4,100,0,0,0,192786,49901,43600,43276,N,N
31659,31659,19000,0.0881,602.52,MORTGAGE,70000,Not Verified,low_risk,n,30.94,0,0,19,0,40494,35,w,13715.54,13715.54,6618.42,6618.42,5284.46,1333.96,0,0,0,602.52,0,1,Joint App,0,0,746464,0,8,0,1,13,120746,115,0,1,9820,93,69000,0,1,0,2,39288,19195,56.4,0,0,122,179,14,13,1,14,13,0,4,6,6,8,20,10,14,6,19,0,0,0,0,100,33.3,0,0,782289,161240,44000,105289,N,N
15003,15003,27575,0.1171,912.07,OWN,142000,Source Verified,low_risk,n,17.9,0,0,20,1,29778,50,w,24877.79,24877.79,5436.54,5436.54,2697.21,2739.33,0,0,0,912.07,0,1,Individual,0,0,360273,3,3,1,3,7,59808,82,5,9,14500,42,142500,6,0,7,13,18014,65777,26.5,0,0,198,164,3,3,3,3,7,0,3,8,9,15,16,16,31,8,20,0,0,0,7,100,22.2,1,0,488561,89586,89500,72659,N,N
75464,75464,31500,0.1774,795.45,MORTGAGE,100000,Source Verified,low_risk,n,25.05,2,1,17,0,18416,57,w,0,0,32349.03,32349.03,31500,849.03,0,0,0,32411.12,0,1,Individual,0,0,516146,3,5,4,6,2,90475,56,0,0,5856,55,35000,1,5,1,7,34410,12179,56.3,0,0,196,259,44,2,4,44,6,0,7,9,9,14,35,11,18,9,17,0,0,0,5,96.2,28.6,0,0,562627,108891,27900,115627,N,N
37768,37768,26400,0.1033,565.22,MORTGAGE,70000,Not Verified,low_risk,n,24.48,0,0,10,0,20070,16,w,22518.22,22518.22,6202.27,6202.27,3881.78,2320.49,0,0,0,565.22,0,1,Individual,0,0,211288,1,1,0,1,16,18915,63,0,1,6494,46,54900,1,3,1,3,23476,30615,36.4,0,0,207,172,19,2,2,31,3,0,5,6,5,5,6,8,8,6,10,0,0,0,1,100,0,0,0,258000,38985,48100,30000,N,N
35473,35473,5000,0.1308,168.67,MORTGAGE,45370,Not Verified,low_risk,n,28.7,0,1,10,0,13789,21,w,3677.2,3677.2,1846.29,1846.29,1322.8,523.49,0,0,0,168.67,0,1,Individual,0,0,140511,1,2,1,2,8,30115,87,0,0,7382,78,21400,1,1,5,3,15612,1240,91.3,0,0,92,101,34,6,1,43,0,0,4,5,5,6,9,7,11,5,10,0,0,0,2,95.2,100,0,0,153155,43904,14200,34755,N,N
16700,16700,24000,0.0756,747.22,MORTGAGE,320000,Verified,low_risk,n,17.99,0,1,16,0,23597,25,w,17867.96,17867.96,7462.12,7462.12,6132.04,1330.08,0,0,0,747.22,0,1,Individual,0,0,894302,0,8,0,6,13,352415,76,1,2,17518,59,57700,2,8,5,9,55894,15190,60.7,0,0,197,158,8,8,7,24,1,0,2,3,3,3,10,6,8,3,16,0,0,0,2,100,33.3,0,0,1000318,376012,38700,395499,N,N
51646,51646,3600,0.0881,114.17,MORTGAGE,138000,Not Verified,low_risk,n,19.98,0,2,16,0,35004,43,f,2503.55,2503.55,1368.28,1368.28,1096.45,271.83,0,0,0,114.17,0,1,Individual,0,0,571521,4,5,4,5,3,82086,35,3,3,22276,73,44700,2,0,5,9,35720,4896,87.7,0,0,216,382,4,1,4,4,2,2,6,6,6,9,24,8,14,6,16,0,0,0,8,93,83.3,0,0,669620,117090,39900,92920,N,N
48811,48811,12000,0.1862,308.79,MORTGAGE,45000,Source Verified,low_risk,n,33.17,0,0,13,0,16923,30,w,10541.68,10541.68,3371.86,3371.86,1458.32,1913.54,0,0,0,0,0,1,Joint App,0,0,134887,1,3,1,1,7,117964,87,1,2,4660,87,19500,2,0,1,3,10376,8,99.9,0,0,148,141,4,4,1,4,7,0,6,9,6,6,18,10,11,9,13,0,0,0,2,100,83.3,0,0,122843,134887,11000,103343,N,N
16394,16394,12000,0.1308,273.53,RENT,85000,Not Verified,low_risk,n,26.36,0,1,12,0,14205,24,w,10500.62,10500.62,2726.58,2726.58,1499.38,1227.2,0,0,0,273.53,0,1,Individual,0,0,240240,2,5,1,5,6,59997,79,1,3,5855,75,24100,4,2,1,11,20020,1752,88.4,0,0,116,114,4,4,3,4,6,0,4,5,4,5,14,5,7,5,12,0,0,0,2,100,75,0,0,269520,74202,15100,75520,N,N
33289,33289,28000,0.0756,871.75,RENT,67000,Not Verified,low_risk,n,37.7,0,0,10,0,5108,13,w,20105.6,20105.6,9577.49,9577.49,7894.4,1683.09,0,0,0,871.75,0,1,Individual,0,0,56398,1,4,2,3,4,51290,65,0,0,1952,44,48400,2,1,1,3,5640,30277,12.2,0,0,89,110,25,4,0,25,1,0,3,4,3,3,6,6,7,4,10,0,0,0,2,100,0,0,0,127718,56398,34500,79318,N,N
35508,35508,10425,0.288,435.74,OWN,250000,Source Verified,low_risk,n,19.53,0,2,23,0,192645,35,w,0,0,12559.39,12559.39,10425,2134.39,0,0,0,9550.91,0,1,Individual,0,0,535534,1,8,2,2,5,78756,87,1,1,60797,92,193400,4,2,4,3,23284,638,97.5,0,0,139,253,7,5,1,7,4,0,9,13,9,11,17,13,16,13,23,0,0,0,3,97.1,100,0,0,607596,288192,117000,90405,N,N
5635,5635,9000,0.0819,183.31,MORTGAGE,60000,Source Verified,low_risk,n,12.58,0,0,6,0,2129,13,w,7743.03,7743.03,1829,1829,1256.97,572.03,0,0,0,183.31,0,1,Individual,0,0,18294,0,2,1,1,7,16165,70,0,0,1573,50,13700,1,4,1,1,3049,7571,21.9,0,0,76,80,44,7,0,66,11,0,2,2,2,4,4,4,9,2,6,0,0,0,1,100,0,0,0,36968,18294,9700,23268,N,N
16298,16298,20000,0.1033,428.2,MORTGAGE,109000,Not Verified,low_risk,n,26.69,0,0,18,0,68,45,w,17338.17,17338.17,4270.52,4270.52,2661.83,1608.69,0,0,0,428.2,0,1,Individual,0,0,459565,0,3,1,2,11,408499,77,3,5,68,38,63700,3,0,4,7,25531,47332,0.1,0,0,168,225,9,9,2,9,2,0,1,1,9,14,20,14,23,1,18,0,0,0,4,100,0,0,0,496305,408567,47400,358075,N,N
60751,60751,12750,0.1612,449.01,RENT,96000,Verified,low_risk,n,24.93,0,3,28,0,35308,46,w,9165.73,9165.73,5359.57,5359.57,3584.27,1775.3,0,0,0,449.01,0,1,Individual,0,0,63874,3,2,2,4,10,28566,72,5,11,12660,39,124900,4,8,7,15,2281,74326,28.7,0,0,68,88,1,1,0,1,0,0,13,17,19,19,20,26,26,18,28,0,0,0,7,100,0,0,0,164424,63874,104200,39524,N,N
23360,23360,2000,0.0756,62.27,RENT,17300,Not Verified,low_risk,n,6.94,0,2,12,0,986,19,w,1224.16,1224.16,877.13,877.13,775.84,101.29,0,0,0,62.27,0,1,Individual,0,0,2513,1,1,2,2,4,1527,95,0,1,633,20,11300,1,0,2,3,209,5014,16.4,0,0,10,52,16,4,0,30,3,0,2,2,5,7,2,11,17,2,12,0,0,0,2,100,0,0,0,12900,2513,6000,1600,N,N
53839,53839,23150,0.0756,720.75,MORTGAGE,130500,Not Verified,low_risk,n,22.61,0,0,15,0,28628,25,w,0,0,24653.36,24653.36,23150,1503.36,0,0,0,16744.56,0,1,Individual,0,0,307787,2,4,0,2,16,20761,33,2,2,20874,25,94200,1,1,2,6,20519,59878,4.7,0,0,125,122,2,2,2,2,4,0,6,8,8,9,9,10,14,8,15,0,0,0,4,100,0,0,0,414781,49389,82700,62921,N,N
22016,22016,4625,0.1774,166.61,OWN,32000,Source Verified,low_risk,n,28.02,0,1,8,0,5275,9,w,3460.87,3460.87,1823.59,1823.59,1164.13,659.46,0,0,0,166.61,0,1,Individual,0,0,32284,1,1,1,1,11,27009,87,2,3,1464,78,10700,2,0,3,4,4036,1584,67.7,0,0,37,35,4,4,0,4,4,0,3,7,3,3,2,7,7,7,8,0,0,0,3,100,66.7,0,0,41635,32284,4900,30935,N,N
75140,75140,20400,0.0756,635.13,OWN,45000,Not Verified,low_risk,n,19.57,0,0,12,0,15460,30,w,14105.54,14105.54,7604.42,7604.42,6294.46,1309.96,0,0,0,635.13,0,1,Individual,0,0,247915,1,1,1,2,10,13492,90,3,4,5227,23,110400,2,0,1,6,20660,76940,16.7,0,0,161,224,4,4,2,4,10,0,6,6,7,11,11,10,17,6,12,0,0,0,4,100,0,0,0,355300,28952,92400,15000,N,N
66157,66157,15000,0.2055,402.02,OWN,39500,Not Verified,low_risk,n,15.41,0,0,9,1,3978,20,w,13121.51,13121.51,4807.12,4807.12,1878.48,2928.64,0,0,0,402.02,0,1,Individual,0,0,107551,1,6,1,2,7,103573,106,1,1,3763,90,10400,0,3,0,3,11950,5822,40.6,0,0,160,173,1,1,0,1,24,0,2,2,2,2,16,3,4,2,9,0,0,0,2,100,0,1,0,86004,107551,9800,75604,N,N
59944,59944,17000,0.0881,351.33,MORTGAGE,58000,Not Verified,low_risk,n,35.3,0,0,14,0,17494,33,w,14169.25,14169.25,4195.16,4195.16,2830.75,1364.41,0,0,0,351.33,0,1,Individual,0,0,209509,1,4,2,2,6,111205,80,0,0,6060,64,38500,0,0,0,3,16116,21006,45.4,0,0,193,257,26,6,2,26,20,0,8,8,9,12,14,9,17,8,14,0,0,0,2,100,37.5,0,0,225968,128699,38500,104968,N,N
57242,57242,16000,0.1524,382.66,MORTGAGE,80000,Verified,low_risk,n,31.71,0,1,7,0,8628,26,w,0,0,16895.39,16895.39,16000,895.39,0,0,0,15760.96,0,1,Individual,0,0,171030,1,4,2,2,2,61017,57,0,0,4502,62,9600,3,1,5,2,24433,98,97.9,0,0,141,194,55,2,3,75,2,0,1,2,1,8,9,2,14,2,7,0,0,0,2,100,100,0,0,233491,69645,4600,102691,N,N
17413,17413,21000,0.143,491.91,MORTGAGE,86300,Source Verified,low_risk,n,4.96,1,1,14,0,4592,32,w,0,0,21505.39,21505.39,21000,505.39,0,0,0,21030.16,0,1,Joint App,0,0,425348,4,1,0,1,13,5213,84,3,3,1432,24,34700,1,1,4,5,30382,11886,22.8,0,0,149,94,3,3,5,3,0,0,3,4,7,9,10,10,15,4,14,0,0,0,4,87.5,0,0,0,461032,10130,15400,6212,N,N
77265,77265,8000,0.124,267.25,RENT,36400,Verified,low_risk,n,26.01,0,1,10,0,2170,14,w,5700.96,5700.96,3195.98,3195.98,2299.04,896.94,0,0,0,267.25,0,1,Individual,0,150,31980,1,3,0,2,13,29810,81,1,4,903,71,8200,3,0,1,6,3198,671,72,0,0,115,70,2,2,0,37,2,0,2,4,2,3,5,7,9,4,10,0,0,0,1,100,50,0,0,45028,31980,2400,36828,N,N
14580,14580,9000,0.1033,291.81,MORTGAGE,72000,Verified,low_risk,n,38.93,0,0,16,0,34265,32,w,6771.69,6771.69,2907.77,2907.77,2228.31,679.46,0,0,0,291.81,0,1,Individual,0,0,148984,0,4,2,2,12,33306,74,0,0,10070,67,55500,1,1,1,2,9312,17134,62,0,0,132,482,28,12,3,28,12,0,6,11,6,9,13,11,16,11,16,0,0,0,2,93.8,66.7,0,0,195355,67571,45100,45155,N,N
21818,21818,8400,0.0646,257.3,RENT,57100,Not Verified,low_risk,n,43.4,0,0,16,1,6886,23,w,5984.22,5984.22,2824.27,2824.27,2415.78,408.49,0,0,0,257.3,0,1,Joint App,0,0,51552,0,4,0,1,20,44666,51,0,0,3229,39,43900,0,1,2,1,3222,25414,21.3,0,0,78,88,28,20,0,44,2,0,6,6,6,6,9,12,14,6,16,0,0,0,0,100,0,1,0,131062,51552,32300,87162,N,N
63571,63571,10000,0.0819,314.25,RENT,42000,Not Verified,low_risk,n,14.8,0,1,7,0,10022,20,w,7633.46,7633.46,3137.95,3137.95,2366.54,771.41,0,0,0,314.25,0,1,Individual,0,0,17502,1,1,0,1,20,7480,69,1,1,6623,48,25400,1,2,2,2,2500,4278,70.1,0,0,161,204,6,6,0,6,6,1,4,4,4,6,8,6,12,4,7,0,0,0,1,90,50,0,0,36219,17502,14300,10819,N,N
30310,30310,5000,0.1774,180.12,RENT,35000,Not Verified,low_risk,n,6.76,0,0,14,0,4141,16,w,4286.66,4286.66,1436.03,1436.03,713.34,722.69,0,0,0,0,0,1,Individual,0,0,46714,0,12,0,2,17,42573,107,1,1,2083,105,4600,0,0,0,3,3337,459,90,0,0,78,44,10,10,0,10,13,0,2,2,2,2,13,2,3,2,14,0,0,0,1,100,100,0,0,44422,46714,4600,39822,N,N
19385,19385,8000,0.143,274.59,OWN,110000,Source Verified,low_risk,n,9.76,0,1,25,0,17049,37,w,6108.19,6108.19,2739.54,2739.54,1891.81,847.73,0,0,0,274.59,0,1,Individual,0,1020,139956,3,4,0,0,27,122907,90,5,8,4184,44,77200,1,0,4,8,6362,49691,24.5,0,0,125,100,3,3,0,3,3,0,8,10,14,14,14,21,23,10,25,0,0,0,5,100,0,0,0,190343,139956,65800,113143,N,N
73076,73076,10000,0.1308,337.33,RENT,75000,Source Verified,low_risk,n,13.89,0,0,19,0,10876,27,w,7089.66,7089.66,4040.69,4040.69,2910.34,1130.35,0,0,0,337.33,0,1,Individual,0,565,76850,1,2,1,1,5,65974,95,5,10,5321,51,35000,0,0,1,11,4269,7994,55.3,0,0,89,79,9,5,0,9,9,3,4,5,6,9,4,16,23,5,19,0,0,0,6,88.5,50,0,0,94670,76850,17900,59670,N,N
60188,60188,15950,0.1308,538.04,MORTGAGE,58000,Not Verified,low_risk,n,29.59,0,1,10,0,36428,24,w,13218.02,13218.02,4574.1,4574.1,2731.98,1842.12,0,0,0,269.02,0,1,Individual,0,0,142472,1,2,0,1,14,7022,59,1,1,10438,63,56900,1,2,1,2,14247,15370,66.9,0,0,129,210,2,2,1,47,2,0,4,6,4,5,11,7,12,6,10,0,0,0,1,100,50,0,0,204850,43450,46500,11950,Y,N
62630,62630,10000,0.1102,217.53,RENT,62500,Not Verified,low_risk,n,13.94,0,0,5,0,14993,8,w,8413.07,8413.07,2595.05,2595.05,1586.93,1008.12,0,0,0,217.53,0,1,Individual,0,0,31465,0,1,0,1,14,16472,82,0,0,11525,40,59400,1,0,0,1,6293,38407,28.1,0,0,14,161,74,14,1,107,14,0,2,2,3,5,1,4,6,2,5,0,0,0,0,100,0,0,0,79400,31465,53400,20000,N,N
40653,40653,6375,0.2055,238.71,MORTGAGE,59000,Not Verified,low_risk,n,24.69,0,0,32,0,7453,48,w,0,0,6922.64,6922.64,6375,547.64,0,0,0,4732.36,0,1,Joint App,0,0,379859,0,17,1,2,11,76348,106,0,4,6250,70,34800,1,2,5,6,11871,15547,32.4,0,0,198,128,13,11,1,13,1,1,3,3,9,11,22,14,24,3,32,0,0,0,1,93.6,11.1,0,0,425722,83801,23000,84922,N,N
74059,74059,15000,0.1612,528.25,RENT,60000,Source Verified,low_risk,n,20.58,0,1,5,0,8525,9,f,10775.93,10775.93,6325.57,6325.57,4224.07,2101.5,0,0,0,528.25,0,1,Individual,0,0,31694,0,2,1,2,7,23169,48,0,0,4067,53,12100,2,1,4,2,6339,3575,70.5,0,0,77,157,53,7,0,53,6,0,3,3,3,3,6,3,3,3,5,0,0,0,1,88.9,33.3,0,0,60418,31694,12100,48318,N,N
58499,58499,2000,0.2305,77.48,RENT,50000,Source Verified,low_risk,n,19.47,0,1,8,0,9383,10,f,1536.63,1536.63,849.72,849.72,463.37,386.35,0,0,0,0,0,1,Individual,0,125,22476,2,3,3,4,4,13093,82,1,1,6498,61,20900,1,2,2,5,2810,11517,44.9,0,0,40,164,2,2,0,2,4,0,4,4,5,5,5,5,5,4,8,0,0,0,4,100,0,0,0,36900,22476,20900,16000,N,N
71968,71968,18000,0.0881,570.81,MORTGAGE,60000,Not Verified,low_risk,n,24.06,0,1,13,1,17374,23,w,12547.05,12547.05,6840.91,6840.91,5452.95,1387.96,0,0,0,570.81,0,1,Individual,0,0,78103,1,2,1,2,5,60729,96,0,3,5235,48,54700,1,0,3,5,6008,36162,32.4,0,0,65,354,18,5,1,18,5,0,7,8,10,15,3,11,19,8,13,0,0,0,1,100,10,1,0,118640,78103,53500,63940,N,N
71664,71664,5600,0.0702,172.97,MORTGAGE,71000,Source Verified,low_risk,n,17.68,0,0,9,0,9354,15,w,3862.28,3862.28,2073.46,2073.46,1737.72,335.74,0,0,0,172.97,0,1,Individual,0,0,150233,0,3,1,2,12,12488,30,0,1,2646,28,37000,1,4,0,3,16693,27271,24.2,0,0,279,57,24,12,2,24,15,0,4,5,4,4,8,5,5,5,9,0,0,0,1,100,0,0,0,216377,21842,36000,41642,N,N
44688,44688,21000,0.2055,786.34,MORTGAGE,139000,Source Verified,low_risk,n,17.11,1,0,12,0,15824,17,w,15882.85,15882.85,8625.76,8625.76,5117.15,3508.61,0,0,0,786.34,0,1,Individual,0,0,244741,0,4,2,3,11,121563,82,1,1,4490,74,21600,0,7,1,4,20395,1312,87.4,0,0,161,126,7,7,1,28,11,0,3,5,3,3,8,6,7,5,12,0,0,0,3,88.2,66.7,0,0,294389,138259,10400,129952,N,N
27876,27876,2500,0.0881,79.28,RENT,100000,Source Verified,low_risk,n,4.88,0,0,7,0,3044,13,w,0,0,2592.67,2592.67,2500,92.67,0,0,0,1498.72,0,1,Individual,0,0,17883,0,2,0,1,14,14839,89,1,2,1250,42,25700,1,0,1,3,2555,5742,32.4,0,0,127,48,8,8,0,34,8,1,3,4,3,4,7,5,6,4,7,0,0,0,1,81.8,0,0,0,42472,17883,8500,16772,N,N
67454,67454,20000,0.1102,435.05,MORTGAGE,98000,Source Verified,low_risk,n,30,0,1,13,0,12802,49,w,0,0,21550.64,21550.64,20000,1550.64,0,0,0,157.02,0,1,Individual,0,206,67176,3,7,2,5,1,54374,55,2,2,4759,58,16500,1,23,5,7,5167,1615,85.3,0,0,116,46,6,1,2,6,1,1,3,5,4,4,41,6,6,5,13,0,0,0,4,91.8,75,0,0,115531,67176,11000,99031,N,N
68213,68213,5300,0.0819,166.55,RENT,27000,Not Verified,low_risk,n,16.98,0,1,15,1,1541,29,w,2635.05,2635.05,2960.68,2960.68,2664.95,295.73,0,0,0,166.55,0,1,Individual,0,0,39443,3,11,2,5,4,37902,84,2,3,1541,63,18200,1,0,2,8,2630,16659,8.5,0,0,150,145,4,4,0,4,4,0,1,1,4,7,19,4,10,1,15,0,0,0,4,100,0,1,0,63108,39443,18200,44908,N,N
10755,10755,15000,0.0646,459.47,RENT,98000,Not Verified,low_risk,n,19.9,0,0,22,0,26502,42,w,9594.63,9594.63,6086.45,6086.45,5405.37,681.08,0,0,0,51.66,0,1,Individual,0,0,129065,3,4,1,3,8,102563,103,3,10,3141,50,68600,1,1,2,14,6146,28658,44.5,0,0,111,128,1,1,0,1,9,0,10,11,11,16,9,18,30,11,22,0,0,0,4,100,27.3,0,0,186844,129065,51600,118244,Y,N
567,567,19125,0.0819,600.99,MORTGAGE,95800,Not Verified,low_risk,n,21.07,0,0,9,0,25290,20,w,14773.39,14773.39,5400.21,5400.21,4351.61,1048.6,0,0,0,0,0,1,Joint App,0,0,670645,1,2,0,2,14,26879,72,1,1,14718,66,42300,1,1,1,4,74516,7677,72.5,0,0,142,321,6,6,2,6,10,0,3,5,3,4,8,6,9,5,9,0,0,0,2,100,66.7,0,0,704678,52169,27900,37378,N,N
55847,55847,16000,0.143,549.18,MORTGAGE,105200,Source Verified,low_risk,n,16.08,0,0,11,0,20298,21,w,11404.36,11404.36,6577.45,6577.45,4595.64,1981.81,0,0,0,549.18,0,1,Individual,0,0,123237,2,2,1,1,2,30850,70,2,6,692,53,52100,1,0,3,7,11203,22409,6.6,0,0,120,276,5,2,2,7,6,0,3,5,5,6,8,8,11,5,11,0,0,0,3,100,0,0,0,175202,51148,24000,44102,N,N
19894,19894,38000,0.0819,773.97,MORTGAGE,180000,Verified,low_risk,n,14.67,0,2,13,0,162629,30,w,32692.84,32692.84,7722.41,7722.41,5307.16,2415.25,0,0,0,773.97,0,1,Individual,0,0,415087,1,2,1,1,6,40982,83,2,3,9756,77,202300,1,2,3,4,31930,1724,94.6,0,0,153,218,7,6,3,7,6,0,5,9,5,9,9,10,18,9,13,0,0,0,3,100,100,0,0,499118,203611,31800,49318,N,N
51482,51482,8400,0.0756,261.53,MORTGAGE,80000,Not Verified,low_risk,n,31.26,0,0,10,0,38274,20,w,6038.8,6038.8,2873.3,2873.3,2361.2,512.1,0,0,0,0,0,1,Individual,0,0,94428,0,4,0,0,27,43416,59,0,0,19400,67,47800,1,0,0,0,9443,160,99.4,0,0,109,160,47,27,4,98,17,0,2,4,2,2,9,5,7,4,10,0,0,0,0,100,100,0,0,204974,81690,27800,73575,N,N
43404,43404,12000,0.1171,396.92,MORTGAGE,81000,Verified,low_risk,n,14.92,0,1,18,0,12252,21,w,8767.32,8767.32,4358.31,4358.31,3232.68,1125.63,0,0,0,396.92,0,1,Individual,0,0,172607,0,3,1,3,12,15417,72,6,10,1879,67,20300,1,0,4,13,9589,2433,76.4,0,0,39,32,7,7,1,7,2,0,9,13,9,9,5,14,15,13,18,0,0,0,7,100,77.8,0,0,210622,27669,10300,21322,N,N
34629,34629,18000,0.0819,366.62,MORTGAGE,33930,Not Verified,low_risk,n,58.19,0,0,12,0,25674,20,w,15225.13,15225.13,4012.34,4012.34,2774.87,1237.47,0,0,0,366.62,0,1,Joint App,0,0,334210,0,4,0,2,15,31708,57,0,1,7602,47,67500,0,1,0,3,30383,32226,43.3,0,0,164,162,23,15,1,23,15,0,4,6,5,6,10,7,9,6,12,0,0,0,0,100,0,0,0,451821,57382,56800,55821,N,N
54670,54670,25125,0.0646,769.6,MORTGAGE,137000,Not Verified,low_risk,n,19.35,0,2,7,0,209699,13,w,17283.4,17283.4,9217.17,9217.17,7841.6,1375.57,0,0,0,769.6,0,1,Individual,0,0,455635,1,1,0,1,22,10913,46,1,2,6592,40,279300,0,1,4,3,65091,19152,34.6,0,0,167,286,5,5,2,5,2,2,2,3,4,5,3,5,8,3,7,0,0,0,1,61.5,0,0,0,604871,220612,29300,24000,N,N
12010,12010,10450,0.0646,320.1,MORTGAGE,49000,Not Verified,low_risk,n,12.69,0,0,8,0,5197,16,w,7746.72,7746.72,3197.25,3197.25,2703.28,493.97,0,0,0,320.1,0,1,Individual,0,0,6295,0,1,0,0,32,1098,16,1,2,2007,16,32100,0,0,0,2,787,9720,21,0,0,142,74,8,8,0,8,15,0,2,5,3,4,8,7,8,5,8,0,0,0,1,100,0,0,0,39100,6295,12300,7000,N,N
11073,11073,3000,0.124,100.22,MORTGAGE,58000,Source Verified,low_risk,n,26.71,0,0,6,0,168,12,w,2274.71,2274.71,1000.13,1000.13,725.29,274.84,0,0,0,100.22,0,1,Individual,0,0,49628,0,5,2,2,7,49460,62,0,0,168,57,6000,1,1,3,2,8271,5832,2.8,0,0,259,98,66,7,0,66,7,0,1,1,1,1,9,1,3,1,6,0,0,0,2,91.7,0,0,0,86428,49628,6000,80428,N,N
7800,7800,10000,0.1524,347.83,RENT,39000,Not Verified,low_risk,n,26.31,0,0,14,0,4353,16,f,7661.13,7661.13,3469.83,3469.83,2338.87,1130.96,0,0,0,347.83,0,1,Individual,0,0,47268,0,11,2,2,8,42915,82,0,1,222,81,6100,1,2,4,3,3376,1578,12.3,0,0,101,72,17,8,0,17,8,0,1,2,2,2,13,3,3,2,14,0,0,0,2,100,0,0,0,58341,47268,1800,52241,N,N
