,index,loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,target,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
66409,66409,20000,0.124,668.12,MORTGAGE,87640,Not Verified,high_risk,n,22.91,0,0,11,0,31135,21,f,0,0,3035.06,3035.06,1789.37,1245.69,0,0,0,0,0,1,Individual,0,0,149385,0,4,1,1,10,22538,50,1,1,13805,44,75500,1,0,3,2,13580,44365,41.2,0,0,117,170,8,8,4,8,10,0,6,6,6,10,6,6,11,6,11,0,0,0,2,100,0,0,0,235725,53673,75500,45535,N,N
66425,66425,6000,0.288,189.73,RENT,50400,Source Verified,high_risk,n,22.4,0,2,10,0,3786,10,w,0,0,1128.78,1128.78,291.38,837.4,0,0,0,0,1,1,Individual,0,1717,28029,5,2,1,1,6,24243,66,6,7,750,57,12700,1,0,2,8,2803,4355,30.9,0,0,54,30,4,4,0,4,4,0,6,8,6,6,2,8,8,8,10,0,0,0,7,100,16.7,0,0,49242,28029,6300,36542,N,N
66430,66430,12750,0.1695,454.26,RENT,80000,Not Verified,high_risk,n,25.44,0,0,23,0,31194,49,w,0,0,2562.66,2562.66,552.21,344.3,0,1666.15,299.907,0,0,1,Individual,0,0,47489,2,2,1,5,9,16295,64,3,6,5508,59,55100,1,0,0,12,2065,10524,72.8,0,0,158,142,2,2,0,11,16,0,10,15,12,14,21,21,27,15,23,0,0,0,5,100,41.7,0,0,80425,47489,38700,25325,N,N
66446,66446,9750,0.2055,365.09,OWN,84000,Not Verified,high_risk,n,25.72,1,0,17,0,7014,29,w,7480.35,7480.35,4004.86,4004.86,2269.65,1735.21,0,0,0,0,0,1,Individual,0,9294,237769,0,4,1,3,10,58981,73,1,1,2436,55,25200,2,0,1,5,13986,8564,22.1,0,0,94,151,12,10,1,12,10,1,1,2,4,5,12,11,15,2,17,0,0,0,3,82.8,25,0,0,282546,69249,11000,74164,N,N
66486,66486,10000,0.2305,387.36,MORTGAGE,30000,Not Verified,high_risk,n,14.15,0,0,7,1,8049,14,w,0,0,1536.63,1536.63,430.99,1105.64,0,0,0,387.36,0,1,Individual,0,0,10517,3,1,1,1,5,2468,94,3,6,3817,60,14900,1,0,1,7,1502,2441,72.6,0,0,5,88,6,5,0,6,4,0,3,5,3,6,1,6,13,5,7,0,0,0,4,100,66.7,1,0,17539,10517,8900,2639,N,N
66502,66502,15000,0.1524,358.75,RENT,65000,Source Verified,high_risk,n,33.47,0,2,12,1,19674,24,w,0,0,2498.55,2498.55,1209.89,1288.66,0,0,0,0,0,1,Individual,0,0,89881,2,4,3,5,9,70207,84,3,5,4817,70,44300,4,4,10,10,7490,12416,53.1,0,0,102,95,3,3,0,5,1,0,3,5,4,7,11,8,13,5,12,0,0,0,6,100,25,1,0,127824,89881,26500,83524,N,N
66514,66514,10625,0.2305,411.57,RENT,40000,Not Verified,high_risk,n,27.75,0,0,6,0,5030,14,w,8607.58,8607.58,3690.52,3690.52,2017.42,1673.1,0,0,0,0,0,1,Individual,0,0,22241,0,3,2,3,8,17211,59,0,1,3015,61,7000,1,5,1,4,3707,285,91.4,0,0,56,149,13,8,0,108,11,0,1,3,1,3,9,3,5,3,6,0,0,0,2,100,100,0,0,36421,22241,3300,29421,N,N
66551,66551,7125,0.2305,201.07,RENT,20160,Not Verified,high_risk,n,20.6,0,1,12,0,6854,20,w,0,0,1398.37,1398.37,476.22,922.15,0,0,0,0,0,1,Individual,0,0,76163,1,9,0,0,26,69309,141,1,1,3888,131,9000,0,0,1,1,6347,146,97.9,0,0,160,55,6,6,0,6,6,0,2,2,2,2,17,3,3,2,12,0,0,0,1,100,100,0,0,58177,76163,7000,49177,N,N
66572,66572,3600,0.1524,125.22,RENT,26500,Not Verified,high_risk,n,23.37,1,0,8,1,5845,14,w,0,0,748.27,748.27,492.4,255.87,0,0,0,0,0,1,Individual,0,5743,6320,0,1,0,1,15,475,8,1,3,1834,38,10500,0,0,0,4,790,447,85.6,0,0,71,95,12,12,0,67,15,0,2,6,2,3,3,7,11,6,8,0,0,0,1,92.9,100,1,0,16500,6320,3100,6000,N,N
66580,66580,13475,0.2565,540.41,RENT,100000,Source Verified,high_risk,n,20.99,2,1,19,0,6283,33,w,0,0,1602.03,1602.03,510.16,1091.87,0,0,0,540.41,0,1,Individual,0,0,34807,0,1,1,3,9,28524,77,1,1,498,60,21400,2,3,8,4,1832,4611,19.4,0,0,104,81,10,9,0,43,0,1,5,14,6,6,10,17,23,14,19,0,0,0,2,90,0,0,0,58585,34807,6000,37185,N,N
